city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Saint Anthony,US,2022-04-03 15:29:26,45.0205,-93.218,41.88,57,0,5.75
158,Torbay,CA,2022-04-03 15:29:27,47.6666,-52.7314,40.53,84,100,21.85
159,Imeni Poliny Osipenko,RU,2022-04-03 15:29:27,52.4201,136.4853,35.1,87,100,13.49
160,Alpinopolis,BR,2022-04-03 15:29:27,-20.8636,-46.3881,74.37,73,92,7.27
161,Gao,ML,2022-04-03 15:29:28,16.6362,1.637,106.41,2,70,10.76
162,Magdagachi,RU,2022-04-03 15:29:28,53.45,125.8,31.23,72,63,11.27
163,Cidreira,BR,2022-04-03 15:29:28,-30.1811,-50.2056,71.82,79,100,16.13
164,Pitimbu,BR,2022-04-03 15:29:29,-7.4706,-34.8086,86.59,73,16,14.88
165,Sinjar,IQ,2022-04-03 15:29:29,36.3209,41.8754,76.98,23,100,6.76
166,Jurado,CO,2022-04-03 15:29:30,7.1053,-77.7641,84.7,71,63,1.52
167,Taoudenni,ML,2022-04-03 15:29:30,22.6783,-3.9836,104.32,6,0,23.47
168,Iqaluit,CA,2022-04-03 15:27:27,63.7506,-68.5145,26.33,86,75,17.27
169,Tinaquillo,VE,2022-04-03 15:29:31,9.9186,-68.3047,88.56,40,65,7.09
170,Sept-Iles,CA,2022-04-03 15:24:34,50.2001,-66.3821,35.06,56,20,16.11
171,Baykit,RU,2022-04-03 15:29:31,61.67,96.37,7.5,98,69,2.73
172,Pimentel,PE,2022-04-03 15:29:32,-6.8367,-79.9342,77.29,61,0,6.91
173,Piet Retief,ZA,2022-04-03 15:29:32,-27.0071,30.8132,66.56,71,100,4.99
174,China,MX,2022-04-03 15:29:32,25.7,-99.2333,74.66,69,97,9.6
175,Makat,KZ,2022-04-03 15:29:33,47.6469,53.3463,69.37,31,34,4.54
176,Balabag,PH,2022-04-03 15:29:33,11.97,121.9192,81.43,78,89,21.88
177,Ormara,PK,2022-04-03 15:29:33,25.2088,64.6357,78.24,71,9,8.93
178,Moldovenesti,RO,2022-04-03 15:29:34,46.5,23.65,35.35,75,100,13.8
179,Christchurch,NZ,2022-04-03 15:27:00,-43.5333,172.6333,60.94,82,100,8.05
180,Isangel,VU,2022-04-03 15:30:43,-19.55,169.2667,75.31,88,100,3.44
181,Zemio,CF,2022-04-03 15:30:44,5.0314,25.1361,86.16,41,65,7.23
182,Kamenka,RU,2022-04-03 15:30:44,51.3223,42.7678,45.32,77,99,6.87
183,Sampit,ID,2022-04-03 15:30:44,-2.5333,112.95,74.68,97,47,1.92
184,Jinchang,CN,2022-04-03 15:30:45,38.4953,102.1739,50.92,14,85,5.21
185,Muzhi,RU,2022-04-03 15:30:45,65.3667,64.6667,21.0,88,100,13.18
186,Lieksa,FI,2022-04-03 15:30:46,63.3167,30.0167,25.14,81,97,6.44
187,Caravelas,BR,2022-04-03 15:30:46,-17.7125,-39.2481,85.21,59,8,8.3
188,Yantal,RU,2022-04-03 15:30:46,56.8471,105.2542,6.98,97,28,3.62
